27540000,1660600,1660600,1660300,1660300,57500
27600000,1660300,1660600,1660300,1660600,12500
27660000,1660400,1660400,1659900,1660100,7077
27720000,1660100,1660100,1659700,1659700,18000
27780000,1659600,1659600,1659400,1659400,3901
27840000,1659400,1659400,1659300,1659400,6449
27900000,1659400,1659600,1659200,1659600,3777
27960000,1659600,1659600,1659300,1659300,10200
28020000,1659400,1659400,1659400,1659400,300
28080000,1659500,1659600,1659500,1659600,3000
28140000,1659500,1659500,1659000,1659200,3659
28200000,1659400,1659400,1659400,1659400,5000
28320000,1659500,1659500,1659500,1659500,3200
28380000,1659500,1659500,1659300,1659300,800
28500000,1659500,1659600,1659300,1659300,100200
28560000,1659500,1659600,1659500,1659600,200
28680000,1659600,1659700,1659600,1659700,500
28740000,1659300,1659500,1659000,1659000,56400
28800000,1659100,1659100,1658300,1658300,82425
28860000,1658400,1658400,1658000,1658100,17500
28920000,1658100,1658100,1657400,1657400,33500
28980000,1657400,1657700,1657300,1657700,22000
29040000,1657700,1658100,1657600,1657600,13900
29100000,1657600,1657600,1657300,1657500,3800
29160000,1657600,1657600,1657300,1657300,300
29220000,1657500,1657500,1657500,1657500,800
29280000,1657700,1658000,1657500,1658000,22800
29340000,1657900,1658000,1657900,1658000,300
29400000,1657700,1658100,1657700,1658100,13381
29460000,1658000,1658000,1657500,1657600,4700
29520000,1657500,1657800,1657000,1657800,55540
29580000,1658100,1658500,1658000,1658500,7833
29640000,1658600,1659100,1658600,1659100,8990
29700000,1659000,1659200,1659000,1659200,7290
29760000,1659200,1659300,1659100,1659100,3580
29820000,1659100,1659100,1658600,1659100,6788
29880000,1659000,1659400,1659000,1659400,11113
29940000,1659200,1659700,1659200,1659600,15987
30000000,1659400,1659700,1659400,1659600,10440
30060000,1659500,1659500,1659500,1659500,7300
30120000,1659500,1659700,1659300,1659500,56693
30180000,1659600,1659800,1659500,1659800,9661
30240000,1659800,1660300,1659800,1659900,31579
30300000,1660000,1660000,1659800,1659900,3700
30360000,1659800,1660000,1659800,1659800,4710
30420000,1659800,1660300,1659800,1660300,21043
30480000,1660300,1660500,1660200,1660200,10998
30540000,1660200,1660200,1659900,1660000,4960
30600000,1659900,1659900,1659600,1659700,2200
30660000,1659600,1659600,1659600,1659600,800
30720000,1659600,1659800,1658900,1659000,40521
30780000,1659000,1659100,1658800,1659000,18000
30840000,1658900,1659200,1658700,1659200,29143
30900000,1659200,1659300,1659200,1659300,2000
30960000,1659200,1659200,1659200,1659200,2300
31020000,1659300,1659300,1659300,1659300,750
31080000,1659400,1660100,1659400,1660000,31021
31140000,1659900,1660200,1659900,1660000,8176
31200000,1659900,1660100,1659600,1659700,6490
31260000,1659800,1659800,1659600,1659600,5090
31320000,1659600,1659600,1659100,1659200,20560
31380000,1659200,1659500,1659200,1659500,560
