14400000,1664300,1665000,1664300,1665000,3650
14460000,1665100,1665400,1665100,1665400,544
14520000,1665100,1665200,1665100,1665200,1200
14580000,1664900,1664900,1664900,1664900,300
14640000,1664800,1664800,1664800,1664800,240
14700000,1664800,1664800,1664800,1664800,100
14760000,1664800,1664800,1664600,1664600,800
14820000,1664700,1664900,1664600,1664900,11228
14880000,1664600,1665700,1664600,1665700,2200
14940000,1665900,1667300,1665900,1667300,12640
15000000,1667100,1667100,1666900,1667100,11300
15060000,1667200,1667200,1667200,1667200,300
15120000,1667300,1668000,1667300,1667700,1800
15180000,1667300,1667300,1666900,1666900,700
15240000,1667000,1667000,1667000,1667000,200
15360000,1666700,1666700,1666700,1666700,9970
15420000,1666700,1666700,1666700,1666700,100
15480000,1666700,1666700,1666700,1666700,10100
15600000,1666700,1666700,1666700,1666700,300
15720000,1666500,1666500,1666400,1666400,300
15780000,1666500,1666500,1666500,1666500,100
15840000,1666600,1666600,1666600,1666600,300
16260000,1666500,1666500,1666500,1666500,200
16560000,1667100,1667100,1666900,1666900,398
16620000,1667000,1667000,1667000,1667000,1200
16680000,1667100,1667100,1666500,1666500,1579
16740000,1666600,1666600,1666600,1666600,1800
16860000,1666400,1666500,1666400,1666500,200
16920000,1666900,1666900,1666500,1666500,1619
17100000,1666300,1666300,1666200,1666200,1000
17160000,1666400,1666400,1666400,1666400,169
17220000,1666400,1666400,1666400,1666400,243
17460000,1666600,1666600,1666400,1666500,303
17580000,1666500,1666500,1666500,1666500,500
17820000,1666700,1667100,1666700,1666700,2800
17880000,1666500,1666500,1666500,1666500,100
17940000,1666600,1666600,1666600,1666600,300
18300000,1666500,1666500,1666500,1666500,100
18420000,1666600,1666600,1666600,1666600,170
18540000,1666700,1666700,1666700,1666700,200
18600000,1666700,1666800,1666700,1666800,200
18780000,1666700,1666700,1666700,1666700,500
18840000,1666800,1667100,1666800,1667100,2400
18900000,1667100,1667300,1667100,1667300,400
18960000,1667100,1667700,1667100,1667700,740
19020000,1667900,1667900,1667900,1667900,100
19140000,1667500,1667500,1667500,1667500,800
19200000,1667500,1667500,1667300,1667300,200
19320000,1667300,1667300,1667300,1667300,200
19380000,1667100,1667400,1667100,1667400,1300
19440000,1667100,1667400,1667100,1667400,6000
19560000,1667100,1667100,1666900,1666900,400
19680000,1667000,1667000,1667000,1667000,1000
19800000,1667100,1667100,1667100,1667100,1200
19980000,1667000,1667100,1667000,1667100,3233
20100000,1667100,1667100,1666700,1667000,7400
20160000,1667100,1667100,1667100,1667100,100
20280000,1667300,1667400,1667100,1667100,1200
20340000,1666900,1667300,1666700,1667300,1400
20400000,1667300,1667700,1667300,1667700,1500
20460000,1667900,1668600,1667900,1668400,1890
20580000,1668300,1668600,1668200,1668300,3175
20640000,1668200,1668200,1668200,1668200,200
20700000,1668100,1668100,1667700,1667700,15400
20760000,1667700,1667900,1667700,1667900,400
20880000,1667500,1667500,1667500,1667500,100
20940000,1667300,1667300,1667300,1667300,200
21060000,1667500,1667500,1667500,1667500,500
21180000,1667600,1667600,1667600,1667600,218
21240000,1667700,1667700,1667700,1667700,170
21300000,1667800,1667900,1667800,1667900,900
21360000,1667800,1667800,1667700,1667700,300
21480000,1668100,1668100,1668100,1668100,187
21540000,1667900,1667900,1667900,1667900,100
21780000,1667700,1668100,1667700,1668100,1199
21840000,1667900,1667900,1667900,1667900,100
21900000,1668100,1668100,1668100,1668100,200
21960000,1668000,1668000,1668000,1668000,100
22020000,1667900,1667900,1667900,1667900,100
22080000,1668100,1668100,1668100,1668100,170
22200000,1668000,1668300,1668000,1668300,200
22260000,1668300,1668600,1668100,1668600,411
22380000,1668200,1668200,1668200,1668200,1000
22440000,1668300,1669500,1668300,1669300,2900
22500000,1669500,1669500,1669500,1669500,700
22560000,1669100,1669100,1669100,1669100,100
22620000,1669100,1669100,1669100,1669100,300
22680000,1668900,1668900,1668900,1668900,200
22740000,1669100,1669100,1669100,1669100,107
22800000,1668700,1668700,1668700,1668700,200
22860000,1668700,1668700,1668700,1668700,200
22920000,1668600,1668600,1668500,1668600,50834
22980000,1668500,1668600,1668500,1668600,24500
23040000,1668400,1668400,1668300,1668400,20000
23100000,1668100,1668100,1667900,1667900,700
23160000,1668000,1668100,1668000,1668100,1100
23220000,1668300,1668300,1668300,1668300,100
23280000,1668500,1668500,1668500,1668500,300
23400000,1668500,1668900,1668500,1668900,10300
23460000,1668900,1668900,1668900,1668900,6525
23520000,1668700,1668700,1668700,1668700,14635
23580000,1669100,1669400,1669100,1669400,5100
23640000,1669100,1669300,1669100,1669300,200
23700000,1669300,1669700,1669300,1669700,2100
23820000,1669600,1669600,1669600,1669600,100
23880000,1669500,1669800,1669500,1669800,3800
23940000,1669800,1670500,1669800,1670500,9086
24000000,1670700,1670800,1670500,1670600,800
24060000,1670400,1670500,1670400,1670500,700
24120000,1670400,1670400,1670000,1670200,34500
24300000,1670300,1670500,1670300,1670300,500
24480000,1670300,1670500,1670300,1670500,300
24540000,1670300,1670400,1670100,1670100,19050
24660000,1669800,1669800,1669800,1669800,800
24720000,1669800,1669800,1669600,1669600,500
24780000,1669600,1669600,1669600,1669600,100
24840000,1669900,1670000,1669700,1670000,12500
24900000,1670100,1670100,1670100,1670100,200
25080000,1670200,1670200,1670100,1670100,2200
25140000,1670000,1670200,1670000,1670000,4800
25200000,1670000,1670900,1670000,1670700,48990
25260000,1670500,1670700,1670500,1670700,12300
25320000,1670700,1670700,1670500,1670500,5800
25380000,1670500,1671100,1670500,1671100,11611
